region,network,x,y,z,accuracy,idiff
L_52,Auditory,-38.637,-22.813,-1.007,0.5310,0.34315
L_RI,Somatomotor,-39.171,-34.340,16.920,0.5693,0.33489
L_PFcm,Cingulo-Oper,-50.326,-32.495,20.075,0.5088,0.29370
L_PoI2,Cingulo-Oper,-38.616,-4.479,-2.748,0.6357,0.45314
L_TA2,Auditory,-51.143,-1.495,-8.492,0.6091,0.37613
L_FOP4,Cingulo-Oper,-38.120,12.914,7.431,0.8260,0.55659
L_MI,Cingulo-Oper,-35.303,8.955,2.515,0.8304,0.56013
L_Pir,Orbito-Affec,-31.213,3.733,-18.515,0.8584,0.56998
L_AVI,Frontopariet,-29.804,24.060,-3.182,0.9159,0.59118
L_AAIC,Orbito-Affec,-32.609,12.705,-12.540,0.8761,0.58001
L_FOP1,Cingulo-Oper,-50.018,2.661,3.983,0.5767,0.40899
L_FOP3,Cingulo-Oper,-35.043,3.178,11.968,0.6637,0.47243
L_FOP2,Somatomotor,-41.133,-3.904,13.671,0.5501,0.37915
L_PFt,Language,-49.891,-29.140,35.653,0.6136,0.42346
L_AIP,Language,-35.720,-41.350,40.174,0.5103,0.24336
L_EC,Posterior-Mu,-21.136,-12.380,-29.279,0.6534,0.44166
L_PreS,Posterior-Mu,-19.416,-32.574,-11.659,0.5236,0.25226
L_H,Posterior-Mu,-30.988,-27.183,-15.778,0.6121,0.46975
L_ProS,Visual1,-21.136,-56.040,2.147,0.4469,0.15024
L_PeEc,Ventral-Mult,-29.828,-10.612,-33.111,0.7183,0.53186
L_STGa,Default,-50.863,9.023,-18.047,0.6726,0.47342
L_PBelt,Auditory,-53.917,-25.370,4.901,0.5649,0.38138
L_A5,Default,-61.437,-17.510,-3.011,0.6268,0.40882
L_PHA1,Posterior-Mu,-22.009,-35.394,-16.772,0.5575,0.31350
L_PHA3,Language,-33.097,-37.944,-17.388,0.5973,0.43205
L_STSda,Posterior-Mu,-53.733,-10.689,-11.869,0.6637,0.49895
L_STSdp,Default,-51.682,-34.128,-1.537,0.6062,0.38500
